season,jornada,team_name,goalsInFavor,goalsAgainst,result,points
2008-09,14,CA Osasuna,3,3,DRAW,1
2008-09,28,RCD Mallorca,2,0,WIN,3
2008-09,4,RCD La Coruña,0,0,DRAW,1
2008-09,17,Real Racing Santander,1,0,WIN,3
2008-09,31,Sporting Gijón,0,2,LOST,0
2009-10,7,RCD Español,2,1,WIN,3
2009-10,21,UD Almería,3,1,WIN,3
2009-10,35,RCD La Coruña,0,1,LOST,0
2009-10,10,Xerez CD,0,0,DRAW,1
2009-10,24,RCD Mallorca,2,1,WIN,3
2009-10,38,Real Valladolid CF,0,4,LOST,0
2010-11,14,RCD Español,1,0,WIN,3
2010-11,28,RCD Español,2,0,WIN,3
2010-11,4,RCD Español,0,3,LOST,0
2010-11,18,FC Barcelona,4,0,WIN,3
2010-11,31,Villarreal CF,0,5,LOST,0
2011-12,7,Rayo Vallecano,0,1,LOST,0
2011-12,21,Atlético Madrid,0,0,DRAW,1
2011-12,35,Villarreal CF,1,1,DRAW,1
2011-12,11,Sevilla FC,0,0,DRAW,1
2011-12,25,Sporting Gijón,1,3,LOST,0
2011-12,38,Granada CF,0,1,LOST,0
2012-13,14,RCD La Coruña,2,3,LOST,0
2012-13,28,Granada CF,1,1,DRAW,1
2012-13,4,RCD La Coruña,1,1,DRAW,1
2012-13,18,CA Osasuna,0,1,LOST,0
2012-13,32,Real Betis,1,3,LOST,0
2013-14,8,FC Barcelona,4,1,WIN,3
2013-14,8,Elche CF,2,1,WIN,3
2013-14,8,Levante UD,2,3,LOST,0
2013-14,8,Rayo Vallecano,1,0,WIN,3
2013-14,8,Athletic Club Bilbao,1,1,DRAW,1
2013-14,8,Atlético Madrid,2,1,WIN,3
2013-14,8,Getafe CF,3,1,WIN,3
2013-14,8,Sevilla FC,2,1,WIN,3
2013-14,9,RCD Español,1,0,WIN,3
2013-14,9,CA Osasuna,0,0,DRAW,1
2013-14,9,Real Madrid CF,2,0,WIN,3
2013-14,9,Valencia CF,1,2,LOST,0
2013-14,9,UD Almería,0,1,LOST,0
2013-14,9,Real Betis,1,2,LOST,0
2013-14,9,Granada CF,0,2,LOST,0
2013-14,9,Real Valladolid CF,2,2,DRAW,1
2013-14,9,Athletic Club Bilbao,2,0,WIN,3
2013-14,9,RC Celta Vigo,0,1,LOST,0
2013-14,10,Rayo Vallecano,0,3,LOST,0
2013-14,10,FC Barcelona,2,1,WIN,3
2013-14,10,Elche CF,0,1,LOST,0
2013-14,10,Levante UD,3,0,WIN,3
2013-14,10,Málaga CF,0,5,LOST,0
2013-14,10,Atlético Madrid,5,0,WIN,3
2013-14,10,Sevilla FC,2,1,WIN,3
2013-14,10,Real Sociedad,3,0,WIN,3
2013-14,10,Villarreal CF,4,1,WIN,3
2013-14,10,Getafe CF,0,1,LOST,0
2013-14,11,RC Celta Vigo,0,3,LOST,0
2013-14,11,RCD Español,0,0,DRAW,1
2013-14,11,CA Osasuna,3,1,WIN,3
2013-14,11,Real Madrid CF,7,3,WIN,3
2013-14,11,Valencia CF,1,2,LOST,0
2013-14,11,Real Valladolid CF,2,2,DRAW,1
2013-14,11,Athletic Club Bilbao,2,2,DRAW,1
2013-14,11,Real Betis,0,0,DRAW,1
2013-14,11,Granada CF,1,2,LOST,0
2013-14,11,Villarreal CF,0,2,LOST,0
2013-14,12,FC Barcelona,1,0,WIN,3
2013-14,12,UD Almería,1,0,WIN,3
2013-14,12,Sevilla FC,0,1,LOST,0
2013-14,12,Real Sociedad,5,0,WIN,3
2013-14,12,Rayo Vallecano,2,3,LOST,0
2013-14,12,Atlético Madrid,2,0,WIN,3
2013-14,12,Getafe CF,0,1,LOST,0
2013-14,12,Levante UD,0,1,LOST,0
2013-14,12,Málaga CF,3,2,WIN,3
2013-14,12,Elche CF,0,1,LOST,0
2013-14,13,Granada CF,3,1,WIN,3
2013-14,13,CA Osasuna,0,1,LOST,0
2013-14,13,Athletic Club Bilbao,2,1,WIN,3
2013-14,13,RC Celta Vigo,0,2,LOST,0
2013-14,13,Getafe CF,1,1,DRAW,1
2013-14,13,Real Madrid CF,5,1,WIN,3
2013-14,13,Real Betis,1,4,LOST,0
2013-14,13,RCD Español,1,3,LOST,0
2013-14,13,Valencia CF,2,2,DRAW,1
2013-14,13,Villarreal CF,1,1,DRAW,1
2013-14,14,Real Valladolid CF,0,1,LOST,0
2013-14,14,UD Almería,0,5,LOST,0
2013-14,14,Atlético Madrid,7,0,WIN,3
2013-14,14,FC Barcelona,4,0,WIN,3
2013-14,14,Real Sociedad,4,3,WIN,3
2013-14,14,Elche CF,2,1,WIN,3
2013-14,14,Levante UD,0,3,LOST,0
2013-14,14,Sevilla FC,4,0,WIN,3
2013-14,14,Rayo Vallecano,1,4,LOST,0
2013-14,14,Málaga CF,1,2,LOST,0
2013-14,15,Getafe CF,1,0,WIN,3
2013-14,15,Villarreal CF,1,1,DRAW,1
2013-14,15,RC Celta Vigo,3,1,WIN,3
2013-14,15,Elche CF,0,2,LOST,0
2013-14,15,RCD Español,1,2,LOST,0
2013-14,15,Real Madrid CF,4,0,WIN,3
2013-14,15,Athletic Club Bilbao,1,0,WIN,3
2013-14,15,Real Betis,2,2,DRAW,1
2013-14,15,Granada CF,1,2,LOST,0
2013-14,15,Valencia CF,3,0,WIN,3
2013-14,16,Levante UD,2,1,WIN,3
2013-14,16,FC Barcelona,2,1,WIN,3
2013-14,16,Málaga CF,1,0,WIN,3
2013-14,16,CA Osasuna,2,2,DRAW,1
2013-14,16,Rayo Vallecano,0,2,LOST,0
2013-14,16,UD Almería,0,0,DRAW,1
2013-14,16,Atlético Madrid,3,0,WIN,3
2013-14,16,Sevilla FC,1,1,DRAW,1
2013-14,16,Real Sociedad,5,1,WIN,3
2013-14,16,Real Valladolid CF,3,0,WIN,3
2013-14,17,Elche CF,0,1,LOST,0
2013-14,17,Atlético Madrid,3,2,WIN,3
2013-14,17,Real Betis,0,1,LOST,0
2013-14,17,Granada CF,1,3,LOST,0
2013-14,17,Villarreal CF,1,2,LOST,0
2013-14,17,Athletic Club Bilbao,2,1,WIN,3
2013-14,17,RC Celta Vigo,1,1,DRAW,1
2013-14,17,RCD Español,4,2,WIN,3
2013-14,17,Getafe CF,2,5,LOST,0
2013-14,17,Valencia CF,2,3,LOST,0
2013-14,18,UD Almería,3,0,WIN,3
2013-14,18,Málaga CF,0,1,LOST,0
2013-14,18,Valencia CF,2,0,WIN,3
2013-14,18,Real Valladolid CF,0,0,DRAW,1
2013-14,18,FC Barcelona,4,0,WIN,3
2013-14,18,CA Osasuna,1,0,WIN,3
2013-14,18,Sevilla FC,3,0,WIN,3
2013-14,18,Real Sociedad,2,0,WIN,3
2013-14,18,Real Madrid CF,3,0,WIN,3
2013-14,18,Rayo Vallecano,2,5,LOST,0
2013-14,19,Granada CF,4,0,WIN,3
2013-14,19,Athletic Club Bilbao,6,1,WIN,3
2013-14,19,Atlético Madrid,0,0,DRAW,1
2013-14,19,RC Celta Vigo,2,1,WIN,3
2012-13,32,Málaga CF,1,5,LOST,0
2012-13,32,RCD Español,2,0,WIN,3
2012-13,32,Athletic Club Bilbao,1,1,DRAW,1
2012-13,32,Real Sociedad,0,0,DRAW,1
2012-13,32,Atlético Madrid,1,0,WIN,3
2012-13,32,Real Zaragoza,1,2,LOST,0
2012-13,33,CA Osasuna,2,2,DRAW,1
2012-13,33,FC Barcelona,2,2,DRAW,1
2012-13,33,Real Madrid CF,2,1,WIN,3
2012-13,33,RC Celta Vigo,1,0,WIN,3
2012-13,33,RCD Mallorca,2,3,LOST,0
2012-13,33,Granada CF,1,0,WIN,3
2012-13,33,Getafe CF,1,2,LOST,0
2012-13,33,Valencia CF,2,4,LOST,0
2012-13,33,Sevilla FC,1,1,DRAW,1
2012-13,33,RCD La Coruña,1,1,DRAW,1
2012-13,34,Athletic Club Bilbao,1,1,DRAW,1
2012-13,34,Málaga CF,0,1,LOST,0
2012-13,34,Atlético Madrid,0,0,DRAW,1
2012-13,34,Real Valladolid CF,3,4,LOST,0
2012-13,34,CA Osasuna,0,4,LOST,0
2012-13,34,Real Betis,2,4,LOST,0
2012-13,34,Levante UD,1,1,DRAW,1
2012-13,34,RCD Español,0,3,LOST,0
2012-13,34,Rayo Vallecano,0,3,LOST,0
2012-13,34,Real Sociedad,1,2,LOST,0
2012-13,35,Atlético Madrid,3,1,WIN,3
2012-13,35,Málaga CF,2,6,LOST,0
2012-13,35,Real Zaragoza,0,0,DRAW,1
2012-13,35,RCD Mallorca,1,2,LOST,0
2012-13,35,Real Madrid CF,1,1,DRAW,1
2012-13,35,Getafe CF,0,1,LOST,0
2012-13,35,RCD La Coruña,0,1,LOST,0
2012-13,36,FC Barcelona,2,1,WIN,3
2012-13,35,RC Celta Vigo,0,1,LOST,0
2012-13,36,Sevilla FC,0,0,DRAW,1
2012-13,35,Valencia CF,4,0,WIN,3
2012-13,35,Granada CF,2,2,DRAW,1
2012-13,36,Valencia CF,1,0,WIN,3
2012-13,36,CA Osasuna,0,3,LOST,0
2012-13,36,Real Sociedad,2,1,WIN,3
2012-13,36,Real Valladolid CF,1,2,LOST,0
2012-13,36,RCD Español,0,2,LOST,0
2012-13,36,Rayo Vallecano,3,2,WIN,3
2012-13,36,Athletic Club Bilbao,2,1,WIN,3
2012-13,36,Real Betis,0,1,LOST,0
2012-13,37,Levante UD,1,0,WIN,3
2012-13,37,RCD Mallorca,0,0,DRAW,1
2012-13,37,Real Zaragoza,0,4,LOST,0
2012-13,37,FC Barcelona,2,0,WIN,3
2012-13,37,Rayo Vallecano,2,1,WIN,3
2012-13,37,RCD La Coruña,1,3,LOST,0
2012-13,37,Sevilla FC,1,2,LOST,0
2012-13,37,Real Madrid CF,3,3,DRAW,1
2012-13,37,Granada CF,0,1,LOST,0
2012-13,37,RC Celta Vigo,2,0,WIN,3
2012-13,38,Málaga CF,1,4,LOST,0
2012-13,38,RCD Español,0,1,LOST,0
2012-13,38,Getafe CF,0,2,LOST,0
2012-13,38,Real Sociedad,1,0,WIN,3
2012-13,38,Real Betis,1,1,DRAW,1
2012-13,38,Real Valladolid CF,2,4,LOST,0
2012-13,38,CA Osasuna,2,4,LOST,0
2012-13,38,Valencia CF,3,4,LOST,0
2012-13,38,Athletic Club Bilbao,2,2,DRAW,1
2012-13,38,Atlético Madrid,3,1,WIN,3
2013-14,1,Real Sociedad,2,0,WIN,3
2013-14,1,Valencia CF,1,0,WIN,3
2013-14,1,Real Valladolid CF,1,2,LOST,0
2013-14,1,FC Barcelona,7,0,WIN,3
2013-14,1,CA Osasuna,1,2,LOST,0
2013-14,1,Real Madrid CF,2,1,WIN,3
2013-14,1,Sevilla FC,1,3,LOST,0
2013-14,1,UD Almería,2,3,LOST,0
2013-14,1,RC Celta Vigo,2,2,DRAW,1
2013-14,1,Rayo Vallecano,3,0,WIN,3
2013-14,2,Athletic Club Bilbao,2,0,WIN,3
2013-14,2,Getafe CF,2,2,DRAW,1
2013-14,2,Elche CF,1,1,DRAW,1
2013-14,2,RCD Español,3,1,WIN,3
2013-14,2,Villarreal CF,2,1,WIN,3
2013-14,2,Atlético Madrid,5,0,WIN,3
2013-14,2,Real Betis,1,2,LOST,0
2013-14,2,Levante UD,0,0,DRAW,1
2013-14,2,Málaga CF,0,1,LOST,0
2013-14,2,Granada CF,0,1,LOST,0
2013-14,3,UD Almería,2,2,DRAW,1
2013-14,3,Rayo Vallecano,1,2,LOST,0
2013-14,3,RC Celta Vigo,1,1,DRAW,1
2013-14,3,CA Osasuna,0,3,LOST,0
2013-14,3,Real Valladolid CF,1,0,WIN,3
2013-14,3,RCD Español,0,0,DRAW,1
2013-14,3,Real Madrid CF,3,1,WIN,3
2013-14,3,Sevilla FC,2,2,DRAW,1
2013-14,3,Real Sociedad,1,2,LOST,0
2013-14,3,Valencia CF,2,3,LOST,0
2013-14,4,Atlético Madrid,4,2,WIN,3
2013-14,4,FC Barcelona,3,2,WIN,3
2013-14,4,Levante UD,0,0,DRAW,1
2013-14,4,Villarreal CF,2,2,DRAW,1
2013-14,4,Real Betis,3,1,WIN,3
2013-14,4,Getafe CF,2,1,WIN,3
2013-14,4,Granada CF,0,1,LOST,0
2013-14,4,Málaga CF,5,0,WIN,3
2013-14,4,Athletic Club Bilbao,3,2,WIN,3
2013-14,4,Elche CF,0,0,DRAW,1
2013-14,5,CA Osasuna,2,1,WIN,3
2013-14,5,UD Almería,2,2,DRAW,1
2013-14,5,Real Sociedad,0,0,DRAW,1
2013-14,5,Real Valladolid CF,0,2,LOST,0
2013-14,5,Rayo Vallecano,0,4,LOST,0
2013-14,5,Real Betis,0,0,DRAW,1
2013-14,5,RC Celta Vigo,0,0,DRAW,1
2013-14,5,Real Madrid CF,4,1,WIN,3
2013-14,5,Valencia CF,3,1,WIN,3
2013-14,5,RCD Español,3,2,WIN,3
2013-14,6,Atlético Madrid,2,1,WIN,3
2013-14,6,FC Barcelona,4,1,WIN,3
2013-14,6,Levante UD,1,1,DRAW,1
2013-14,6,Málaga CF,2,0,WIN,3
2013-14,6,Elche CF,1,2,LOST,0
2013-14,6,Granada CF,0,1,LOST,0
2013-14,6,Sevilla FC,4,1,WIN,3
2013-14,6,Athletic Club Bilbao,2,1,WIN,3
2013-14,6,Getafe CF,2,0,WIN,3
2013-14,6,Villarreal CF,2,1,WIN,3
2013-14,7,Real Valladolid CF,2,2,DRAW,1
2013-14,7,UD Almería,0,2,LOST,0
2013-14,7,Real Madrid CF,0,1,LOST,0
2013-14,7,Real Sociedad,1,1,DRAW,1
2013-14,7,Valencia CF,1,0,WIN,3
2013-14,7,Real Betis,1,0,WIN,3
2013-14,7,RC Celta Vigo,0,1,LOST,0
2013-14,7,RCD Español,0,2,LOST,0
2013-14,7,CA Osasuna,0,1,LOST,0
2013-14,7,Granada CF,2,0,WIN,3
2013-14,8,Málaga CF,0,1,LOST,0
2013-14,8,Villarreal CF,3,0,WIN,3
2013-14,19,Elche CF,1,1,DRAW,1
2013-14,37,Rayo Vallecano,0,4,LOST,0
2013-14,37,Real Sociedad,1,1,DRAW,1
2013-14,37,Málaga CF,1,1,DRAW,1
2013-14,37,Real Valladolid CF,3,4,LOST,0
2013-14,37,Real Madrid CF,0,2,LOST,0
2013-14,37,FC Barcelona,0,0,DRAW,1
2013-14,37,CA Osasuna,1,1,DRAW,1
2013-14,37,Sevilla FC,0,1,LOST,0
2013-14,37,UD Almería,2,0,WIN,3
2013-14,38,Levante UD,0,1,LOST,0
2013-14,38,Atlético Madrid,1,1,DRAW,1
2013-14,38,RCD Español,1,3,LOST,0
2013-14,38,RC Celta Vigo,1,2,LOST,0
2013-14,38,Athletic Club Bilbao,0,0,DRAW,1
2013-14,38,Real Betis,1,2,LOST,0
2013-14,38,Elche CF,1,3,LOST,0
2013-14,38,Villarreal CF,2,1,WIN,3
2013-14,38,Granada CF,1,0,WIN,3
2013-14,38,Getafe CF,2,1,WIN,3
2014-15,1,UD Almería,1,1,DRAW,1
2014-15,1,Granada CF,2,1,WIN,3
2014-15,1,Málaga CF,1,0,WIN,3
2014-15,1,Sevilla FC,1,1,DRAW,1
2014-15,1,FC Barcelona,3,0,WIN,3
2014-15,1,RC Celta Vigo,3,1,WIN,3
2014-15,1,SD Eibar,1,0,WIN,3
2014-15,1,Levante UD,0,2,LOST,0
2014-15,1,Real Madrid CF,2,0,WIN,3
2014-15,1,Rayo Vallecano,0,0,DRAW,1
2014-15,2,Getafe CF,1,0,WIN,3
2014-15,2,Valencia CF,3,0,WIN,3
2014-15,2,Athletic Club Bilbao,3,0,WIN,3
2014-15,2,Atlético Madrid,2,1,WIN,3
2014-15,2,Córdoba CF,1,1,DRAW,1
2014-15,2,RCD Español,1,2,LOST,0
2014-15,2,Elche CF,1,1,DRAW,1
2014-15,2,RCD La Coruña,2,2,DRAW,1
2014-15,2,Real Sociedad,4,2,WIN,3
2014-15,2,Villarreal CF,0,1,LOST,0
2014-15,3,UD Almería,1,1,DRAW,1
2014-15,3,FC Barcelona,2,0,WIN,3
2014-15,3,RC Celta Vigo,2,2,DRAW,1
2014-15,3,Málaga CF,0,0,DRAW,1
2014-15,3,Real Madrid CF,1,2,LOST,0
2014-15,3,Granada CF,0,0,DRAW,1
2014-15,3,Sevilla FC,2,0,WIN,3
2014-15,3,Valencia CF,3,1,WIN,3
2014-15,3,Rayo Vallecano,2,3,LOST,0
2014-15,3,SD Eibar,0,1,LOST,0
2014-15,4,Elche CF,0,2,LOST,0
2014-15,4,Athletic Club Bilbao,0,1,LOST,0
2014-15,4,Atlético Madrid,2,2,DRAW,1
2014-15,4,RCD Español,2,2,DRAW,1
2014-15,4,RCD La Coruña,2,8,LOST,0
2014-15,4,Córdoba CF,1,3,LOST,0
2014-15,4,Levante UD,0,5,LOST,0
2014-15,4,Real Sociedad,1,2,LOST,0
2014-15,4,Villarreal CF,4,2,WIN,3
2014-15,4,Getafe CF,0,3,LOST,0
2014-15,5,RC Celta Vigo,2,1,WIN,3
2014-15,5,Real Madrid CF,5,1,WIN,3
2014-15,5,UD Almería,0,1,LOST,0
2014-15,5,SD Eibar,1,1,DRAW,1
2014-15,5,Granada CF,0,1,LOST,0
2014-15,5,Málaga CF,0,0,DRAW,1
2014-15,5,Sevilla FC,1,0,WIN,3
2014-15,5,Rayo Vallecano,2,1,WIN,3
2014-15,5,RCD Español,2,0,WIN,3
2014-15,5,Valencia CF,3,0,WIN,3
2014-15,6,Elche CF,0,1,LOST,0
2014-15,6,Athletic Club Bilbao,0,0,DRAW,1
2014-15,6,Atlético Madrid,4,0,WIN,3
2014-15,6,FC Barcelona,6,0,WIN,3
2014-15,6,Levante UD,0,2,LOST,0
2014-15,6,Villarreal CF,0,2,LOST,0
2014-15,6,Córdoba CF,0,0,DRAW,1
2014-15,6,Getafe CF,1,0,WIN,3
2014-15,6,RCD La Coruña,0,1,LOST,0
2014-15,6,Real Sociedad,1,1,DRAW,1
2014-15,7,Getafe CF,1,1,DRAW,1
2014-15,7,UD Almería,2,2,DRAW,1
2014-15,7,SD Eibar,3,3,DRAW,1
2014-15,7,Málaga CF,2,1,WIN,3
2014-15,7,Valencia CF,3,1,WIN,3
2014-15,7,Rayo Vallecano,0,2,LOST,0
2014-15,7,RC Celta Vigo,1,3,LOST,0
2014-15,7,RCD Español,2,0,WIN,3
2014-15,7,Real Madrid CF,5,0,WIN,3
2014-15,7,Sevilla FC,4,1,WIN,3
2014-15,8,Granada CF,0,1,LOST,0
2014-15,8,Athletic Club Bilbao,1,1,DRAW,1
2014-15,8,FC Barcelona,3,0,WIN,3
2014-15,8,Córdoba CF,1,2,LOST,0
2014-15,8,Levante UD,0,5,LOST,0
2014-15,8,Atlético Madrid,2,0,WIN,3
2014-15,8,Elche CF,0,2,LOST,0
2014-15,8,RCD La Coruña,3,0,WIN,3
2014-15,8,Villarreal CF,2,0,WIN,3
2014-15,8,Real Sociedad,1,2,LOST,0
2014-15,9,RC Celta Vigo,3,0,WIN,3
2014-15,9,UD Almería,0,1,LOST,0
2014-15,9,Córdoba CF,1,1,DRAW,1
2014-15,9,SD Eibar,1,1,DRAW,1
2014-15,9,Real Madrid CF,3,1,WIN,3
2014-15,9,Valencia CF,3,1,WIN,3
2014-15,9,RCD Español,0,0,DRAW,1
2014-15,9,Getafe CF,0,1,LOST,0
2014-15,9,Málaga CF,4,0,WIN,3
2014-15,9,Sevilla FC,2,1,WIN,3
2014-15,10,RCD La Coruña,1,2,LOST,0
2014-15,10,Atlético Madrid,4,2,WIN,3
2014-15,10,FC Barcelona,0,1,LOST,0
2014-15,10,Granada CF,0,4,LOST,0
2014-15,10,Real Sociedad,0,1,LOST,0
2014-15,10,Athletic Club Bilbao,1,0,WIN,3
2014-15,10,Elche CF,2,1,WIN,3
2014-15,10,Levante UD,2,1,WIN,3
2014-15,10,Villarreal CF,1,3,LOST,0
2014-15,10,Rayo Vallecano,2,3,LOST,0
2014-15,11,Córdoba CF,0,0,DRAW,1
2014-15,11,UD Almería,1,2,LOST,0
2014-15,11,RC Celta Vigo,0,0,DRAW,1
2014-15,11,Getafe CF,0,0,DRAW,1
2014-15,11,Málaga CF,2,1,WIN,3
2014-15,11,Real Madrid CF,5,1,WIN,3
2014-15,11,RCD Español,1,1,DRAW,1
2014-15,11,Sevilla FC,1,1,DRAW,1
2014-15,11,Real Sociedad,2,1,WIN,3
2014-15,11,Valencia CF,0,0,DRAW,1
2014-15,12,Athletic Club Bilbao,3,1,WIN,3
2014-15,12,Atlético Madrid,3,1,WIN,3
2014-15,12,FC Barcelona,5,1,WIN,3
2014-15,12,SD Eibar,0,4,LOST,0
2014-15,12,RCD La Coruña,0,0,DRAW,1
2014-15,12,Elche CF,2,2,DRAW,1
2014-15,12,Levante UD,2,1,WIN,3
2014-15,12,Rayo Vallecano,1,0,WIN,3
2014-15,12,Villarreal CF,2,1,WIN,3
2014-15,12,Granada CF,0,0,DRAW,1
2014-15,13,Real Sociedad,3,0,WIN,3
2014-15,13,RC Celta Vigo,0,1,LOST,0
2014-15,13,RCD Español,2,1,WIN,3
2014-15,13,Getafe CF,1,2,LOST,0
2014-15,13,Málaga CF,1,2,LOST,0
2014-15,13,Atlético Madrid,2,0,WIN,3
2014-15,13,Córdoba CF,0,2,LOST,0
2014-15,13,Sevilla FC,5,1,WIN,3
2014-15,13,Valencia CF,0,1,LOST,0
2014-15,13,UD Almería,0,1,LOST,0
2014-15,14,Athletic Club Bilbao,0,1,LOST,0
2014-15,14,Elche CF,0,2,LOST,0
2014-15,14,RCD La Coruña,0,1,LOST,0
2014-15,14,Real Madrid CF,3,0,WIN,3
2014-15,14,FC Barcelona,5,1,WIN,3
2014-15,14,Granada CF,1,1,DRAW,1
2014-15,14,Rayo Vallecano,0,1,LOST,0
2014-15,14,Villarreal CF,4,0,WIN,3
2014-15,14,SD Eibar,5,2,WIN,3
2014-15,14,Levante UD,1,1,DRAW,1
2014-15,15,UD Almería,1,4,LOST,0
2014-15,15,Córdoba CF,0,0,DRAW,1
2014-15,15,Getafe CF,0,0,DRAW,1
2014-15,15,Málaga CF,1,0,WIN,3
2014-15,15,Valencia CF,3,0,WIN,3
2014-15,15,Atlético Madrid,0,1,LOST,0
2014-15,15,RCD Español,2,1,WIN,3
2014-15,15,Sevilla FC,0,0,DRAW,1
2014-15,15,Real Sociedad,1,1,DRAW,1
2014-15,15,RCD La Coruña,1,0,WIN,3
2014-15,16,RC Celta Vigo,0,1,LOST,0
2014-15,16,FC Barcelona,5,0,WIN,3
2014-15,16,SD Eibar,0,1,LOST,0
2014-15,16,Levante UD,1,1,DRAW,1
2014-15,16,Rayo Vallecano,1,3,LOST,0
2014-15,16,Athletic Club Bilbao,1,4,LOST,0
2014-15,16,Elche CF,1,2,LOST,0
2014-15,16,Granada CF,1,1,DRAW,1
2014-15,16,Villarreal CF,3,0,WIN,3
2014-15,17,Atlético Madrid,3,1,WIN,3
2014-15,17,Elche CF,2,2,DRAW,1
2014-15,17,RCD La Coruña,1,0,WIN,3
2014-15,17,Málaga CF,1,2,LOST,0
2014-15,16,Sevilla FC,1,0,WIN,3
2014-15,17,RCD Español,1,2,LOST,0
2014-15,17,Getafe CF,1,2,LOST,0
2014-15,17,Real Sociedad,1,0,WIN,3
2014-15,17,Valencia CF,2,1,WIN,3
2014-15,17,Córdoba CF,2,0,WIN,3
2014-15,18,Levante UD,0,0,DRAW,1
2014-15,18,RC Celta Vigo,1,1,DRAW,1
2014-15,18,SD Eibar,2,1,WIN,3
2014-15,18,Málaga CF,1,1,DRAW,1
2014-15,17,Real Madrid CF,3,0,WIN,3
2014-15,18,UD Almería,0,2,LOST,0
2014-15,18,Athletic Club Bilbao,1,2,LOST,0
2014-15,18,FC Barcelona,3,1,WIN,3
2014-15,18,Granada CF,1,1,DRAW,1
2014-15,18,Rayo Vallecano,0,1,LOST,0
2014-15,19,Córdoba CF,1,1,DRAW,1
2014-15,19,RCD Español,1,0,WIN,3
2014-15,19,Real Sociedad,0,1,LOST,0
2014-15,19,Valencia CF,3,2,WIN,3
2014-15,19,Villarreal CF,2,0,WIN,3
2014-15,19,Atlético Madrid,2,0,WIN,3
2014-15,19,Elche CF,1,0,WIN,3
2014-15,19,Getafe CF,0,3,LOST,0
2014-15,19,RCD La Coruña,0,4,LOST,0
2014-15,18,Sevilla FC,2,0,WIN,3
2014-15,20,Atlético Madrid,3,1,WIN,3
2014-15,20,Córdoba CF,1,2,LOST,0
2014-15,20,Elche CF,0,6,LOST,0
2014-15,20,Real Sociedad,1,0,WIN,3
2014-15,20,Villarreal CF,1,0,WIN,3
2014-15,20,Athletic Club Bilbao,1,1,DRAW,1
2014-15,20,RCD Español,3,0,WIN,3
2014-15,20,RCD La Coruña,2,2,DRAW,1
2014-15,20,Valencia CF,3,1,WIN,3
2014-15,20,Getafe CF,2,1,WIN,3
2014-15,21,Rayo Vallecano,1,2,LOST,0
2014-15,21,RC Celta Vigo,1,0,WIN,3
2014-15,21,SD Eibar,1,3,LOST,0
2014-15,21,Granada CF,1,0,WIN,3
2014-15,20,Real Madrid CF,4,1,WIN,3
2014-15,21,UD Almería,1,0,WIN,3
2014-15,21,FC Barcelona,3,2,WIN,3
2014-15,21,Levante UD,0,2,LOST,0
2014-15,20,Sevilla FC,3,2,WIN,3
2014-15,21,Málaga CF,1,0,WIN,3
2014-15,21,Real Madrid CF,2,1,WIN,3
2014-15,22,RCD La Coruña,2,0,WIN,3
2014-15,22,Atlético Madrid,4,0,WIN,3
2014-15,22,Levante UD,4,1,WIN,3
2014-15,22,Real Sociedad,1,1,DRAW,1
2014-15,22,Villarreal CF,2,0,WIN,3
2014-15,22,Athletic Club Bilbao,2,5,LOST,0
2014-15,22,Córdoba CF,1,2,LOST,0
2014-15,22,RCD Español,1,2,LOST,0
2014-15,22,Getafe CF,2,1,WIN,3
2014-15,22,Elche CF,2,0,WIN,3
2014-15,23,UD Almería,2,2,DRAW,1
2014-15,23,Granada CF,0,0,DRAW,1
2014-15,23,Málaga CF,0,2,LOST,0
2014-15,23,Real Madrid CF,2,0,WIN,3
2014-15,23,Sevilla FC,3,0,WIN,3
2014-15,23,FC Barcelona,5,0,WIN,3
2014-15,23,RC Celta Vigo,2,0,WIN,3
2014-15,23,Valencia CF,1,0,WIN,3
2014-15,23,Rayo Vallecano,2,0,WIN,3
2014-15,23,SD Eibar,0,1,LOST,0
2014-15,24,Getafe CF,2,1,WIN,3
2014-15,24,Atlético Madrid,3,0,WIN,3
2014-15,24,FC Barcelona,0,1,LOST,0
2014-15,24,Córdoba CF,1,2,LOST,0
2014-15,24,RCD La Coruña,0,2,LOST,0
2014-15,24,Athletic Club Bilbao,1,0,WIN,3
2014-15,24,Elche CF,0,2,LOST,0
2014-15,24,Real Sociedad,4,3,WIN,3
2014-15,24,Villarreal CF,1,0,WIN,3
2014-15,24,Levante UD,2,1,WIN,3
2014-15,25,RCD Español,1,0,WIN,3
2014-15,25,UD Almería,0,0,DRAW,1
2014-15,25,Granada CF,1,3,LOST,0
2014-15,25,Málaga CF,3,2,WIN,3
2014-15,25,Rayo Vallecano,4,2,WIN,3
2014-15,25,SD Eibar,0,1,LOST,0
2014-15,25,Real Madrid CF,1,1,DRAW,1
2014-15,25,Sevilla FC,0,0,DRAW,1
2014-15,25,Valencia CF,2,0,WIN,3
2014-15,25,RC Celta Vigo,1,1,DRAW,1
2014-15,26,Levante UD,2,1,WIN,3
2014-15,26,Athletic Club Bilbao,1,0,WIN,3
2014-15,26,Elche CF,1,0,WIN,3
2014-15,26,Granada CF,1,0,WIN,3
2014-15,26,RCD La Coruña,3,4,LOST,0
2014-15,26,Atlético Madrid,1,1,DRAW,1
2014-15,26,FC Barcelona,6,1,WIN,3
2014-15,26,Real Sociedad,1,0,WIN,3
